Batch,Heigh(µm),Spacing(µm),Span(µm)
Batch 1,170.2487093496107,575.1748954801028,86.26147215143249
Batch 1,218.2086047866017,658.216913269413,101.08591863554335
Batch 1,220.86408088806473,496.2168228295644,97.55789544817664
Batch 1,201.93234948068155,480.922887448716,95.29068908869503
Batch 1,252.74668478444374,611.4991259395763,89.78442691593114
Batch 1,211.45259241370553,485.0932369164115,86.26153486575059
Batch 1,181.7369525983497,472.1758283512141,100.20767295402041
Batch 1,221.0071242354652,403.71053332385736,102.31299443642766
Batch 1,239.61429248588576,593.8474175482564,81.87951157625805
Batch 1,203.21786223204606,417.14185415154475,73.14211261743556
Batch 1,192.79892223335634,484.94260751408467,81.60988641833954
Batch 1,171.3657451478328,551.3337894534968,105.5412056071735
Batch 1,214.28573535553124,624.1376184244236,106.57658373902396
Batch 1,192.88017884433208,499.0687032563635,91.08693896058888
Batch 1,170.3144962692288,469.4625885145358,100.72669685980343
Batch 1,204.2359195841564,545.7945743657688,82.19531831816549
Batch 1,259.4648894965096,574.4929277938749,77.14210835659992
Batch 1,185.1752755554246,509.41077747659625,82.17077480789071
Batch 1,198.94039181284398,442.977988316954,79.98010951047526
Batch 1,220.71266916602247,521.4405276080556,96.14853558858798
Batch 1,217.30739249143545,465.7464196435945,107.24638810028367
Batch 1,184.2089366328733,577.6502341233257,112.24332781473315
Batch 1,262.2335007915733,528.3795894337945,98.44270174969608
Batch 1,228.0952674803965,487.47966385780285,95.22457418982722
Batch 1,259.56918588009603,543.9088302356662,79.88784398212792
Batch 1,164.15526456404342,600.8913788595205,91.0716055562569
Batch 1,187.17093064025536,452.71275190787514,96.82617742200958
Batch 1,236.51185535054907,521.4255677869161,94.47063984246158
Batch 1,207.76855556290474,655.7594674881852,106.967811347325
Batch 1,240.02768813693842,596.3931378796286,95.28408583282823
Batch 1,185.18795544186344,592.406710664638,82.80880064444736
Batch 1,203.64959234037613,570.7147556698848,84.81594959974062
Batch 1,257.2081411470753,487.1583670506427,99.67069331524682
Batch 1,263.69013275725473,453.8621060211334,91.04807651916053
Batch 1,227.4472331763958,567.8259958203914,72.9089657578996
Batch 1,218.88575780465442,428.0905065978382,81.60740172560322
Batch 1,191.04550154962692,460.0090212530659,110.21060640771356
Batch 1,236.13081563914704,581.7189524677424,111.88723986893926
Batch 1,241.56218036072275,633.3900213789724,97.12665504049082
Batch 1,210.02696437195672,444.94298218080667,94.96720027602564
Batch 1,250.3710029504693,462.88026501641593,84.83353066798986
Batch 1,278.2978527279298,523.0687374769246,89.9262391657452
Batch 1,226.3912551803449,602.4383118025964,84.76732495949862
Batch 1,218.88710468009032,532.6118565688671,92.5738465678589
Batch 1,254.0905605124807,605.8719957906172,89.74959149542661
Batch 1,178.8671901414542,539.2693022687046,92.57852429254538
Batch 1,251.81041385379046,457.28638850582973,75.64521305182068
Batch 1,224.0427270939311,603.5455638979277,86.16776504813723
Batch 1,228.62475386717563,509.0180818610671,89.3404577050519
Batch 1,183.85059384210533,515.9917955865387,84.82236380740675
Batch 1,176.9118745683863,576.6137060491823,79.55207764321719
Batch 1,272.0577607821387,469.4592862986151,85.55438080499987
Batch 1,190.66574035881723,514.6686313560548,102.0758310069665
Batch 1,248.0102690382111,537.0482956751605,80.366726361791
Batch 1,200.4168140647298,565.3975774036469,97.72916985607492
Batch 1,219.77085410113756,603.9292039399182,82.89894054981839
Batch 1,181.8999671264404,482.14228687948616,70.0
Batch 1,226.95233181400837,428.1212627473798,93.24890926397958
Batch 1,225.82459893318486,567.7154401701879,108.2604593883944
Batch 1,260.6668431990734,514.5208337583347,88.35251588930942
Batch 1,202.6789521273792,513.7322545629455,93.77723396754126
Batch 1,207.2671219179726,539.2323957305877,88.41922555169502
Batch 1,274.8024235815806,497.23877619523944,94.28596229247985
Batch 1,200.23817306915106,579.1978185525328,94.15063533159368
Batch 1,276.17695192048865,494.59253522602137,96.07997887512924
Batch 1,210.02660202672823,630.011435231784,84.83066694268744
Batch 1,261.7764371351509,414.479803453205,103.82192079921539
